I0,I1,I2,Area,I3,I4,I5,Class
0.521064478,1.745239653,3.492930767,153.5,3.07863453,6.521575238,3.951466849,Giovanna
0.658561747,1.752496783,3.545745521,71,5.64539832,10.25479685,6.66923604,Giovanna
0.261461417,0.629213767,1.712624174,93,1.935635384,3.762616771,2.286563951,Giovanna
0.3281745,0.813305467,3.727728864,22255,3.178933751,6.632294656,3.588379478,Giovanna
0.600971468,1.461762098,4.433627831,86,4.811006822,9.43958232,5.592180399,Giovanna
0.554648199,1.580126003,2.459052802,129,3.226129407,6.080481998,4.034093787,Giovanna
0.455876163,1.109430121,3.091961717,66,3.868178662,7.699781142,4.764885126,Giovanna
0.301485726,0.709399467,2.192459257,95,2.972667036,5.687854007,3.546667144,Giovanna
0.508909669,1.301615555,2.630928563,54.5,3.5258381,6.77580841,4.436630501,Giovanna
0.67463916,2.662960627,2.30283115,57.5,3.964160311,8.818809017,5.470872716,Giovanna
0.621963975,1.657082202,2.591868231,63.5,3.559466147,7.231856655,4.606773862,Giovanna
0.685502958,2.224793714,2.681989001,74.5,3.929989055,7.968579793,6.393757454,Giovanna
0.695087587,2.109956395,3.305431391,124,5.77178591,10.35243359,6.829018947,Giovanna
0.640757015,1.81141406,3.46859174,52,4.439051015,9.442775371,5.598313658,Giovanna
0.455457794,1.146814928,2.743910922,73.5,3.127943477,6.065915882,3.703892722,Giovanna
0.661799196,2.556844039,2.575131392,75.5,3.533021039,6.821120127,4.976530163,Giovanna
0.433490528,1.430691681,1.975158418,57.5,2.146868359,4.209288598,2.862579741,Giovanna
0.384230641,2.042980701,2.453150421,152.5,3.206813323,6.040772169,4.260812688,Giovanna
0.487117354,1.726916457,3.011124994,151,2.460622111,5.250005345,3.324101135,Giovanna
0.632158645,1.813700574,2.938754858,199,4.037817835,7.559125681,4.999910614,Giovanna
0.616928556,1.825950726,2.475392726,81,3.151288269,5.992737123,4.067177073,Giovanna
0.587501221,2.652112112,1.995671858,9698,3.356021805,6.031966742,4.724652014,Giovanna
0.336812196,0.944742494,1.539660388,191,2.479742944,5.415192819,3.222900542,Giovanna
0.590549538,2.438468034,2.895721337,613.5,3.483602887,6.675431665,5.913114031,Giovanna
0.592472943,1.901894122,1.943171052,56.5,3.028612383,5.696764178,4.14558398,Giovanna
0.633279641,1.674688227,2.845648488,89.5,3.380683937,6.511018136,4.261422861,Giovanna
0.626007965,1.900172006,2.26274639,67,3.359093145,6.549259056,4.620099721,Giovanna
0.418213504,1.602543026,2.186116524,225,3.340593441,6.276337861,4.296739825,Giovanna
0.196854542,0.520527107,1.707219597,648.5,1.768592928,3.511256085,2.11725617,Giovanna
0.657907736,1.968653607,3.210398494,139.5,3.380392819,6.703874497,4.613341456,Giovanna
0.677821497,2.474100294,2.639795888,50.5,3.320647978,6.340896196,4.721392254,Giovanna
0.760209773,4.046045435,3.63156901,1413,4.951037026,9.363600006,7.474470121,Giovanna
0.65971013,2.024864757,2.761412606,122,3.488510212,6.754998177,4.504629323,Giovanna
0.554159628,1.516119108,2.341386549,51.5,3.233306583,6.560578789,4.396507326,Giovanna
0.501263277,1.615382043,2.600552926,20097,3.700506767,7.166574207,4.784706693,Giovanna
0.760419041,3.106580555,3.504674776,62.5,4.963839552,9.436263533,6.863534669,Giovanna
