Image,I1,I2,I3,I4,I5,I6,Class
nd106 cloz02.tif,0.46786938,1.397246618,3.249902492,3.74110878,8.073720696,4.482083497,Corante
nd106 cloz02.tif,0.704048368,2.611049799,4.437028156,5.147832179,10.52581124,6.671763984,Corante
nd106 cloz02.tif,0.095893336,0.47115679,1.916931052,1.942884812,3.943552669,2.364432598,Corante
nd106 cloz02.tif,0.306303415,1.465481446,1.562186257,2.827069029,5.102875462,4.518526436,Corante
nd106 cloz02.tif,0.388740329,1.3270432,2.136308785,2.870569633,5.478678714,4.220509156,Corante
nd106 cloz02.tif,0.357637502,1.261723158,1.385594917,2.769494478,5.105994859,3.749679644,Corante
nd106 cloz02.tif,0.719425987,2.908998316,3.045438391,3.649271665,7.015380492,5.167367915,Corante
nd106 cloz02.tif,0.448871764,1.77749353,1.721223377,2.213537302,4.218898614,4.531336806,Corante
nd106 cloz02.tif,0.497530725,1.516990438,2.479062045,5.481071913,9.535202342,6.523493587,Corante
nd106 cloz02.tif,0.634106327,2.07240423,4.456964124,4.200838858,8.529989992,5.585565225,Corante
nd106 cloz02.tif,-0.06987485,0.247215822,0.363765486,0.958691906,1.645356005,1.182763792,Corante
nd106 cloz02.tif,0.464031381,2.26190496,2.066695116,2.491899293,5.007587081,4.541969917,Corante
nd106 cloz02.tif,0.68294992,2.687146045,2.535596971,3.819466204,9.087641556,5.369109801,Corante
nd106 cloz02.tif,0.631591342,1.73049817,2.738859538,3.421566725,6.502158771,4.289663564,Corante
nd106 cloz02.tif,0.399759495,2.250128227,3.793310387,2.332587017,5.880190731,3.872771008,Corante
nd106 cloz02.tif,0.497199503,1.971011459,2.151472903,3.292943395,6.16066091,4.534700499,Corante
nd106 cloz02.tif,0.586227015,2.217645315,2.306053367,3.390768737,6.271140114,4.532322241,Corante
nd106 cloz02.tif,0.627340686,2.100013586,3.285229092,3.614953471,7.423254248,5.003092477,Corante
nd106 cloz02.tif,0.465531033,1.226277715,2.12987106,2.118076518,4.242365134,2.795285152,Corante
nd106 cloz02.tif,0.397997198,1.249787764,2.334505442,2.972854308,5.63964149,3.604358557,Corante
nd106 cloz02.tif,0.690335217,3.303832295,2.989774643,3.79468929,7.219411414,5.690316096,Corante
nd106 cloz02.tif,0.35090336,0.862981668,2.371041239,2.686008722,5.223501287,3.279718745,Corante
nd106 cloz02.tif,-0.164582628,-0.151822109,0.365126325,0.277184787,0.598619325,0.201535399,Corante
nd106 cloz02.tif,0.592431999,1.686536806,2.349123483,3.15613223,5.949213279,4.135584021,Corante
nd106 cloz02.tif,0.655517594,1.999311245,3.430232972,4.626902314,8.802636815,5.627956472,Corante
nd106 cloz02.tif,0.581680275,1.809752997,2.25136132,3.703992287,6.816633017,4.719781662,Corante
nd106 cloz02.tif,0.542220983,1.393960535,3.354769946,4.235491177,8.091487668,4.936818942,Corante
nd106 cloz02.tif,0.541570956,2.259884851,2.557706648,3.146332666,6.279444946,4.284514314,Corante
nd106 cloz02.tif,0.068508542,1.253595097,0.781328266,1.81494113,3.685976224,2.808750635,Corante
nd106 cloz02.tif,0.708219252,2.276894751,3.326643507,5.845529326,10.53560615,7.53598575,Corante
nd106 cloz02.tif,0.582131643,1.947388597,2.171570224,3.169664643,5.898242316,4.144934471,Corante
nd106 cloz02.tif,0.52788808,1.734455479,2.532485441,2.317288404,4.742757556,3.670909814,Corante
nd106 cloz02.tif,0.689484335,2.462269938,2.924374433,5.174292092,10.1578356,8.358497493,Corante
nd106 cloz02.tif,0.62359382,1.910558914,3.532007523,4.019720454,7.855718456,5.000265576,Corante
nd106 cloz02.tif,0.129095808,0.462054985,1.467537492,2.267706376,4.136721026,2.567325356,Corante
nd106 cloz02.tif,0.501236922,1.39188991,2.249096196,2.517214037,4.904135428,3.215400956,Corante
nd106 cloz02.tif,0.661465153,2.410031594,3.261885441,4.818483014,8.866797735,6.108360406,Corante
nd106 cloz02.tif,0.572407986,1.425178023,3.214314086,3.984044511,7.734862547,4.961818619,Corante
nd106 cloz02.tif,0.682594249,2.313961907,3.308570281,4.197655048,8.069913967,5.441645828,Corante
nd106 cloz02.tif,0.59545613,2.247807845,2.085838932,3.026519033,5.905053624,4.500426639,Corante
nd106 cloz02.tif,0.551488448,1.559716817,2.636075287,3.585811515,7.133734891,6.051461457,Corante
nd106 cloz02.tif,0.238837113,1.95816242,1.016338575,2.154877979,3.847201972,3.166534385,Corante
nd106 cloz02.tif,0.242239124,2.095093348,1.790388201,2.209611077,4.222883742,3.434045997,Corante
nd106 cloz02.tif,0.326711433,0.865444753,1.35872556,1.547772198,3.001453976,1.981473645,Corante
nd106 cloz02.tif,0.693825258,3.250428385,2.539375628,4.009921566,7.632478791,5.683331846,Corante
nd106 cloz02.tif,0.549994388,2.026568277,2.016636389,2.264426383,4.476734687,3.305328316,Corante
nd106 cloz02.tif,0.299307183,1.054013123,1.70872706,1.53435207,3.15589872,2.118069853,Corante
nd106 cloz02.tif,0.616441065,1.930556734,3.181138187,4.408728894,8.417555104,5.709445185,Corante
nd106 cloz02.tif,0.582401718,1.57337322,2.281639482,2.778458172,5.312553002,3.600474948,Corante
nd106 cloz02.tif,0.708785011,2.771168824,2.607830717,4.167105183,9.036055844,5.968314301,Corante
nd106 cloz02.tif,0.613787947,1.835160371,4.304668729,4.180554312,8.427335427,5.545677379,Corante
nd106 cloz02.tif,0.65576245,2.351266056,3.319986518,4.743718227,8.815384144,6.2079331,Corante
nd106 cloz03.tif,0.580240631,1.787792854,4.170332753,3.668015944,7.710731159,4.967965275,Corante
nd106 cloz03.tif,0.340302589,1.316422427,2.152476956,3.132342652,6.571607668,4.079875652,Corante
